SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
5	1	3	9	20872	6277	0.71209415898192673922	0	1	804.28193100669886917	0	NaN	NaN	0	1	1	0	1	0
5	1	3	10	66684	9754	0.71214047656394541264	0	1	774.70630999596323818	0	NaN	NaN	0	1	1	0	1	0
5	1	3	11	60215	7300	0.71223305689636617899	0	1	889.80832800734788179	0	NaN	NaN	0	1	1	0	1	0
5	1	3	12	66178	1104	0.71227934397757053375	0	1	842.10189800069201738	0	NaN	NaN	0	1	1	0	1	0
5	1	3	13	8786	7313	0.7123256404884159565	0	1	905.49657400697469711	0	NaN	NaN	0	1	1	0	1	0
5	1	3	14	52502	3250	0.71237192477565258741	0	1	925.69696999271400273	0	NaN	NaN	0	1	1	0	1	0
5	1	3	15	45556	6726	0.71241823607124388218	0	1	687.41135999152902514	0	NaN	NaN	0	1	1	0	1	0
5	1	3	16	17810	8054	0.71246451640035957098	0	1	876.60969499847851694	0	NaN	NaN	0	1	1	0	1	0
5	1	3	17	12617	7613	0.71251082269009202719	0	1	747.12245800765231252	0	NaN	NaN	0	1	1	0	1	0
5	1	3	18	19309	6236	0.71255710918921977282	0	1	860.28826401161495596	0	NaN	NaN	0	1	1	0	1	0
5	1	3	19	2558	2259	0.7126034050015732646	0	1	771.28950999758671969	0	NaN	NaN	0	1	1	0	1	0
5	1	3	20	4636	3968	0.71264969755429774523	0	1	903.05213700048625469	0	NaN	NaN	0	1	1	0	1	0
5	1	3	21	27440	2980	0.71269599697552621365	0	1	843.6322250054217875	0	NaN	NaN	0	1	1	0	1	0
5	1	3	22	12050	9718	0.71274228591937571764	0	1	929.70621401036623865	0	NaN	NaN	0	1	1	0	1	0
5	1	3	23	30390	1550	0.71278858266305178404	0	1	912.59619100310374051	0	NaN	NaN	0	1	1	0	1	0
5	1	3	24	27440	2980	0.71283487253822386265	1	1	974.85584999958518893	0	2	NaN	1	1	0	1	2	0
5	1	3	25	12146	6274	0.71292746032122522593	0	1	771.5105400129687041	0	NaN	NaN	0	1	1	0	1	0
5	1	3	26	16739	6666	0.71297374996356666088	0	1	915.12926699942909181	0	NaN	NaN	0	1	1	0	1	0
5	1	3	27	65707	3580	0.71302004065364599228	0	1	588.7698470032773912	0	NaN	NaN	0	1	1	0	1	0
5	1	3	28	57047	791	0.71306634636130183935	0	1	1008.2448519970057532	0	NaN	NaN	0	1	1	0	1	0
5	1	3	29	65452	7771	0.71311263041570782661	1	0	685.11704300181008875	0	99	NaN	1	0	2	0	1	0
5	1	3	30	62232	7985	0.71315892657730728388	1	0	2102.6595000002998859	0	55	NaN	1	0	1	0	1	0
5	1	3	31	63154	5651	0.7132052277447655797	0	1	750.87582098785787821	0	NaN	NaN	0	1	1	0	1	0
5	1	3	32	20825	4786	0.71325152250938117504	0	1	973.41820700967218727	0	NaN	NaN	0	1	1	0	1	0
5	1	3	33	54170	5910	0.7132977192522957921	0	1	903.25748699251562357	0	NaN	NaN	0	1	1	0	1	0
5	1	3	34	55954	6588	0.71334400912746787071	0	1	792.41571099555585533	0	NaN	NaN	0	1	1	0	1	0
5	1	3	35	33831	5925	0.71339029807131737471	0	1	702.47434900375083089	0	NaN	NaN	0	1	1	0	1	0
5	1	3	36	7559	5699	0.71348289633169770241	0	1	624.1497759910998866	0	NaN	NaN	0	1	1	0	1	0
5	1	3	37	15307	3719	0.7135291865561157465	0	1	849.1886109986808151	0	NaN	NaN	0	1	1	0	1	0
5	1	3	38	32276	5440	0.71357548318337649107	0	1	586.52954798890277743	0	NaN	NaN	0	1	1	0	1	0
5	1	3	39	62374	9470	0.71362176910042762756	0	1	661.27947600034531206	0	NaN	NaN	0	1	1	0	1	0
5	1	3	40	26437	1330	0.7136680724797770381	0	1	735.13762399670667946	0	NaN	NaN	0	1	1	0	1	0
5	1	3	41	32841	8935	0.71371436398476362228	0	1	909.07185300602577627	0	NaN	NaN	0	1	1	0	1	0
5	1	3	42	7660	80	0.7137606556061655283	0	1	624.43493799946736544	0	NaN	NaN	0	1	1	0	1	0
5	1	3	43	32940	2159	0.71380695374682545662	0	1	924.92373500135727227	0	NaN	NaN	0	1	1	0	1	0
5	1	3	44	57744	1866	0.71385324606671929359	0	1	954.46261600591242313	0	NaN	NaN	0	1	1	0	1	0
5	1	3	45	21712	5965	0.71394583745859563351	0	1	757.99073500093072653	0	NaN	NaN	0	1	1	0	1	0
5	1	3	46	7278	7512	0.71399212407413870096	0	1	816.63231800484936684	0	NaN	NaN	0	1	1	0	1	0
5	1	3	47	30703	4025	0.71403842081781476736	0	1	925.4582749999826774	0	NaN	NaN	0	1	1	0	1	0
5	1	3	48	30703	4025	0.71408471744507551193	1	1	847.43527500540949404	0	0	NaN	1	1	0	1	2	0
5	1	3	49	30374	403	0.71413100778590887785	0	1	2730.1700920070288703	0	NaN	NaN	0	1	1	0	1	0
5	1	3	50	16914	1665	0.71417730802204459906	0	1	611.16641700209584087	0	NaN	NaN	0	1	1	0	1	0
5	1	3	51	19592	9667	0.71422359533607959747	0	1	964.31493500131182373	0	NaN	NaN	0	1	1	0	1	0
5	1	3	52	25960	340	0.71426989475730806589	0	1	1726.7972779955016449	0	NaN	NaN	0	1	1	0	1	0
5	1	3	53	22525	6692	0.71431619208306074142	0	1	750.31837100686971098	0	NaN	NaN	0	1	1	0	1	0
5	1	3	54	37356	3824	0.71440877369605004787	0	1	1188.3462409896310419	0	NaN	NaN	0	1	2	0	1	0
5	1	3	55	57803	1160	0.71445507032331079245	0	1	742.44536898913793266	0	NaN	NaN	0	1	1	0	1	0
5	1	3	56	2386	7046	0.71450136508792638779	1	1	801.68621899792924523	0	121	NaN	1	1	0	1	2	0
5	1	3	57	13660	7852	0.71454766078386455774	0	1	688.39505199866835028	0	NaN	NaN	0	1	1	0	1	0
5	1	3	58	50278	5291	0.71459385426715016365	0	1	930.33335899235680699	0	NaN	NaN	0	1	1	0	1	0
5	1	3	59	64273	3595	0.71464014984667301178	0	1	1389.0707950049545616	0	NaN	NaN	0	1	1	0	1	0
5	1	3	60	70472	2325	0.71468644635751843452	0	1	860.17365299630910158	0	NaN	NaN	0	1	1	0	1	0
5	1	3	61	25424	4285	0.71473274030722677708	0	1	676.84310299227945507	0	NaN	NaN	0	1	1	0	1	0
5	1	3	62	16816	8561	0.71477903448976576328	0	1	641.92457000899594277	0	NaN	NaN	0	1	1	0	1	0
5	1	3	63	39664	3014	0.71482532937079668045	1	1	1530.1414290006505325	0	95	NaN	1	1	0	1	2	0
5	1	4	1	30374	403	0.71636489173397421837	1	1	1211.0975999967195094	0	14	NaN	1	1	0	1	2	0
5	1	4	2	44981	612	0.71641118952538818121	1	1	1736.9361300079617649	0	153	NaN	1	1	0	1	2	0
5	1	4	3	3920	4687	0.71645748463924974203	0	1	773.81647999573033303	0	NaN	NaN	0	1	1	0	1	0
5	1	4	4	71054	9425	0.71650378173217177391	1	1	3673.6134120001224801	1	170	NaN	1	1	1	1	2	0
5	1	4	5	28988	7750	0.71655007277149707079	0	1	952.80841100611723959	0	NaN	NaN	0	1	1	0	1	0
5	1	4	6	5994	3194	0.71659636474214494228	0	1	602.61888199602253735	0	NaN	NaN	0	1	1	0	1	0
5	1	4	7	72157	2628	0.71664265973959118128	0	1	1031.9795770046766847	0	NaN	NaN	0	1	1	0	1	0
5	1	4	8	51703	9722	0.71668895531911402941	0	1	1273.7425069935852662	0	NaN	NaN	0	1	1	0	1	0
5	1	4	9	16816	8561	0.71673524286597967148	1	1	833.36916800180915743	0	9	NaN	1	1	0	1	2	0
5	1	4	10	38933	2670	0.71678154030814766884	0	1	1089.5641899987822399	0	NaN	NaN	0	1	1	0	1	0
5	1	4	11	67620	5109	0.716874130186624825	0	1	902.81638401211239398	0	NaN	NaN	0	1	1	0	1	0
5	1	4	12	51366	3457	0.71692042180802673101	0	1	1036.6274120024172589	0	NaN	NaN	0	1	1	0	1	0
5	1	4	13	54913	9972	0.71696671133395284414	0	1	1953.3716979931341484	0	NaN	NaN	0	1	1	0	1	0
5	1	4	14	65415	899	0.71701301424764096737	0	1	783.69144900352694094	0	NaN	NaN	0	1	1	0	1	0
5	1	4	15	13401	5741	0.71705921192187815905	0	1	1588.4606979961972684	0	NaN	NaN	0	1	1	0	1	0
5	1	4	16	33797	3831	0.7171054967911913991	0	1	1150.1601680065505207	0	NaN	NaN	0	1	1	0	1	0
5	1	4	17	13710	3799	0.71715179714374244213	0	1	2930.7875230006175116	0	NaN	NaN	0	1	1	0	1	0
5	1	4	18	72873	2517	0.7171980889979749918	0	1	856.07776101096533239	0	NaN	NaN	0	1	1	0	1	0
5	1	4	19	12484	6504	0.71724437933880835772	0	1	646.5835459966911003	0	NaN	NaN	0	1	1	0	1	0
5	1	4	20	40049	3548	0.71733697550371289253	0	1	1762.833672997658141	0	NaN	NaN	0	1	1	0	1	0
5	1	4	21	6470	6399	0.71738326700869947672	0	1	764.96679699630476534	0	NaN	NaN	0	1	1	0	1	0
5	1	4	22	24036	3095	0.71742955711670219898	0	1	1224.7859420021995902	0	NaN	NaN	0	1	1	0	1	0
5	1	4	23	18885	9021	0.71747586317360401154	0	1	1602.9511179949622601	0	NaN	NaN	0	1	1	0	1	0
5	1	4	24	15588	9121	0.71752215316519141197	0	1	809.72824599302839488	0	NaN	NaN	0	1	1	0	1	0
5	1	4	25	13660	7852	0.71756844012998044491	1	1	1054.4927080045454204	0	30	NaN	1	1	0	1	2	0
5	1	4	26	49747	1108	0.71761474176310002804	1	1	1861.485992994857952	0	109	NaN	1	1	0	1	2	0
5	1	4	27	15720	8441	0.71766103000845760107	0	1	1082.0855130004929379	0	NaN	NaN	0	1	1	0	1	0
5	1	4	28	50690	9826	0.71770732244476675987	0	1	560.54097699234262109	0	NaN	NaN	0	1	1	0	1	0
5	1	4	29	71690	7559	0.71775362850166857243	0	1	1510.3639809967717156	0	NaN	NaN	0	1	1	0	1	0
5	1	4	30	36525	2880	0.71784621302504092455	0	1	1051.0656110127456486	0	NaN	NaN	0	1	1	0	1	0
5	1	4	31	69210	9949	0.71789250685833394527	0	1	873.01666299754288048	0	NaN	NaN	0	1	1	0	1	0
5	1	4	32	33510	7441	0.71793879813048988581	1	1	844.60284801025409251	0	196	NaN	1	1	0	1	2	0
5	1	4	33	36294	4751	0.71798509522341191769	0	1	790.91203100688289851	0	NaN	NaN	0	1	1	0	1	0
5	1	4	34	8081	5679	0.71803138882387429476	0	1	692.65059399185702205	0	NaN	NaN	0	1	1	0	1	0
5	1	4	35	33777	9865	0.71807768277358263731	1	1	902.68952699261717498	0	133	NaN	1	1	0	1	2	0
5	1	4	36	7374	1645	0.71812397567555308342	0	1	801.78786299074999988	0	NaN	NaN	0	1	1	0	1	0
5	1	4	37	44002	1266	0.71817026205826550722	1	1	781.30479699757415801	0	92	NaN	1	1	0	1	2	0
5	1	4	38	15050	1549	0.71821656601969152689	0	1	703.7646020035026595	0	NaN	NaN	0	1	1	0	1	0
5	1	4	39	29200	4229	0.71826285577844828367	1	1	892.96802699391264468	0	98	NaN	1	1	0	1	2	0
5	1	4	40	66537	9562	0.71830905613023787737	0	1	861.72440499649383128	0	NaN	NaN	0	1	1	0	1	0
5	1	4	41	38314	6187	0.7184016423998400569	0	1	776.53514800476841629	0	NaN	NaN	0	1	1	0	1	0
5	1	4	42	41305	8748	0.7184479318093508482	1	1	1619.9723019963130355	0	187	NaN	1	1	0	1	2	0
5	1	4	43	57361	8374	0.71849423449020832777	0	1	1666.1661340040154755	0	NaN	NaN	0	1	1	0	1	0
